Number: 141, Type: 2e, Grid Ref: TQ2306254691, Longitude: 51.27808, Latitude: -0.237004, Distance: 16.39
Number: 142, Type: 2c, Grid Ref: TQ2315254563, Longitude: 51.27691, Latitude: -0.235758, Distance: 16.50
Number: 143, Type: 2e, Grid Ref: TQ2332454152, Longitude: 51.273179, Latitude: -0.233435, Distance: 16.88
Number: 144, Type: 2e, Grid Ref: TQ2338153856, Longitude: 51.270506, Latitude: -0.232721, Distance: 17.17
Number: 144a, Type: 2e, Grid Ref: TQ2346653511, Longitude: 51.267387, Latitude: -0.231622, Distance: 17.50
Number: 145, Type: 2e, Grid Ref: TQ2349753445, Longitude: 51.266788, Latitude: -0.2312, Distance: 17.56
Number: 146, Type: 2d, Grid Ref: TQ2364553087, Longitude: 51.263538, Latitude: -0.229204, Distance: 17.90
Number: 147, Type: 2e, Grid Ref: TQ2366053016, Longitude: 51.262897, Latitude: -0.229013, Distance: 17.97
Number: 148, Type: 2e, Grid Ref: TQ2368352943, Longitude: 51.262236, Latitude: -0.228709, Distance: 18.04
Number: 149, Type: 2e, Grid Ref: TQ2385652452, Longitude: 51.257785, Latitude: -0.226401, Distance: 18.51
Number: 150, Type: 2e, Grid Ref: TQ2385252377, Longitude: 51.257112, Latitude: -0.226484, Distance: 18.59
Number: 151, Type: 2*, Grid Ref: TQ2383652246, Longitude: 51.255938, Latitude: -0.226759, Distance: 18.72
Number: 152, Type: 2e, Grid Ref: TQ2395052299, Longitude: 51.25639, Latitude: -0.225107, Distance: 18.65
Number: 153, Type: 2e, Grid Ref: TQ2400753041, Longitude: 51.263046, Latitude: -0.224034, Distance: 17.91
Number: 154, Type: 2e, Grid Ref: TQ2430854894, Longitude: 51.279635, Latitude: -0.219078, Distance: 16.04
Number: 155, Type: 2, Grid Ref: TQ2430355245, Longitude: 51.28279, Latitude: -0.219028, Distance: 15.69
Number: 156, Type: 2e, Grid Ref: TQ2411356546, Longitude: 51.294524, Latitude: -0.221299, Distance: 14.41
Number: 157, Type: 2e, Grid Ref: TQ2576657037, Longitude: 51.298575, Latitude: -0.197431, Distance: 13.84
Number: 158, Type: 2e, Grid Ref: TQ2619657329, Longitude: 51.301104, Latitude: -0.191163, Distance: 13.55
Number: 159, Type: 2d, Grid Ref: TQ2721557908, Longitude: 51.30608, Latitude: -0.176347, Distance: 13.06
Number: 160, Type: 2d, Grid Ref: TQ2750757833, Longitude: 51.305341, Latitude: -0.172187, Distance: 13.17
Number: 161, Type: 2d, Grid Ref: TQ2790657789, Longitude: 51.304856, Latitude: -0.166482, Distance: 13.28
Number: 162, Type: 2c, Grid Ref: TQ2855057997, Longitude: 51.30658, Latitude: -0.157174, Distance: 13.20
Number: 163, Type: 2, Grid Ref: TQ2910157575, Longitude: 51.302663, Latitude: -0.149426, Distance: 13.74
Number: 164, Type: 2d, Grid Ref: TQ2890256835, Longitude: 51.296058, Latitude: -0.152546, Distance: 14.41
Number: 166, Type: 2d, Grid Ref: TQ3041056782, Longitude: 51.295239, Latitude: -0.130948, Distance: 14.87
Number: 167, Type: 2d, Grid Ref: TQ3220156785, Longitude: 51.294854, Latitude: -0.105274, Distance: 15.53
Number: 168, Type: 2, Grid Ref: TQ3250356959, Longitude: 51.296347, Latitude: -0.10088, Distance: 15.51
